archivo,frame,angulo_rodilla_izquierda_kinovea,angulo_rodilla_izquierda_mediapipe,diferencia_rodilla_izquierda
46,10,178.264,174.668,3.596
46,11,177.354,178.92,-1.566
47,0,176.236,170.649,5.587
47,1,173.589,168.214,5.375
47,2,170.399,172.342,-1.943
47,3,172.185,170.124,2.061
47,4,173.831,169.278,4.553
47,5,175.959,168.836,7.123
47,6,176.19,169.569,6.621
47,7,177.687,169.983,7.704
47,8,179.616,171.975,7.641
47,9,178.044,173.609,4.435
47,10,177.541,176.803,0.738
47,11,176.765,177.246,-0.481
47,12,176.338,178.611,-2.273
48,0,169.924,171.521,-1.597
48,1,172.163,172.032,0.131
48,2,171.631,171.764,-0.133
48,3,174.881,170.945,3.936
48,4,173.076,170.151,2.925
48,5,173.554,169.416,4.138
48,6,174.91,170.34,4.57
48,7,174.148,170.373,3.775
48,8,177.876,171.757,6.119
49,0,162.276,179.032,-16.756
49,1,158.531,171.935,-13.404
49,2,154.657,163.705,-9.048
49,3,152.815,163.435,-10.62
49,4,153.702,163.163,-9.461
49,5,155.472,159.144,-3.672
49,6,154.065,157.069,-3.004
49,7,153.884,155.986,-2.102
49,8,150.278,153.673,-3.395
49,9,144.159,133.62,10.539
49,10,149.96,147.264,2.696
49,11,144.024,154.872,-10.848
50,0,162.715,174.896,-12.181
50,1,162.813,169.959,-7.146
50,2,158.523,166.086,-7.563
50,3,152.716,165.486,-12.77
50,4,154.352,161.2,-6.848
50,5,153.602,155.137,-1.535
50,6,155.975,156.727,-0.752
50,7,154.801,160.178,-5.377
50,8,154.88,163.706,-8.826
50,9,152.611,156.807,-4.196
50,10,148.568,166.523,-17.955
50,11,140.509,152.412,-11.903
50,12,144.161,150.62,-6.459
51,0,166.592,170.231,-3.639
51,1,159.023,167.09,-8.067
51,2,154.379,168.088,-13.709
51,3,147.828,161.284,-13.456
51,4,147.545,156.67,-9.125
51,5,150.483,155.641,-5.158
51,6,151.031,158.9,-7.869
51,7,150.567,162.716,-12.149
51,8,149.894,166.17,-16.276
51,9,145.802,156.614,-10.812
51,10,139.765,153.193,-13.428
51,11,136.391,156.027,-19.636
52,0,161.271,170.983,-9.712
52,1,156.718,167.814,-11.096
52,2,156.883,155.65,1.233
52,3,154.476,162.78,-8.304
52,4,153.668,163.579,-9.911
52,5,154.282,160.864,-6.582
52,6,155.758,159.805,-4.047
52,7,156.766,161.649,-4.883
52,8,151.865,155.043,-3.178
52,9,145.014,154.287,-9.273
52,10,141.749,152.477,-10.728
53,0,166.518,173.984,-7.466
53,1,162.334,175.361,-13.027
53,2,152.217,179.305,-27.088
53,3,149.592,171.001,-21.409
53,4,147.836,161.495,-13.659
53,5,152.743,159.393,-6.65
53,6,154.772,161.767,-6.995
53,7,156.713,164.301,-7.588
53,8,155.513,165.419,-9.906
53,9,152.344,161.265,-8.921
53,10,150.965,160.741,-9.776
53,11,144.953,165.155,-20.202
54,0,172.454,178.869,-6.415
54,1,163.102,173.793,-10.691
54,2,158.479,165.683,-7.204
54,3,157.275,171.504,-14.229
54,4,157.928,168.548,-10.62
54,5,160.521,162.69,-2.169
54,6,160.897,164.818,-3.921
54,7,159.333,162.722,-3.389
54,8,155.275,162.765,-7.49
54,9,155.359,160.497,-5.138
54,10,152.075,155.934,-3.859
54,11,148.164,158.489,-10.325
55,0,167.035,167.871,-0.836
55,1,164.408,165.14,-0.732
55,2,160.631,169.884,-9.253
55,3,153.589,168.835,-15.246
55,4,155.28,162.104,-6.824
55,5,156.943,162.604,-5.661
55,6,160.313,167.232,-6.919
55,7,162.583,169.624,-7.041
55,8,161.151,170.948,-9.797
55,9,160.865,169.975,-9.11
55,10,160.754,168.946,-8.192
55,11,163.822,174.848,-11.026
56,0,165.762,167.188,-1.426
56,1,164.298,163.163,1.135
56,2,163.561,166.046,-2.485
56,3,158.668,170.372,-11.704
56,4,158.135,170.727,-12.592
56,5,153.744,170.23,-16.486
56,6,155.104,170.539,-15.435
56,7,155.614,167.312,-11.698
56,8,156.932,160.051,-3.119
56,9,158.131,162.51,-4.379
56,10,159.532,163.093,-3.561
56,11,161.846,163.922,-2.076
57,0,161.534,162.641,-1.107
57,1,157.909,165.737,-7.828
57,2,156.952,168.81,-11.858
57,3,157.773,172.651,-14.878
57,4,157.533,177.166,-19.633
57,5,161.201,175.431,-14.23
57,6,165.7,172.438,-6.738
57,7,168.27,170.291,-2.021
57,8,168.417,169.275,-0.858
57,9,167.43,162.005,5.425
58,0,160.112,172.308,-12.196
58,1,155.688,171.797,-16.109
58,2,156.706,170.012,-13.306
58,3,155.236,166.932,-11.696
58,4,159.749,162.399,-2.65
58,5,160.474,164.738,-4.264
58,6,161.647,166.222,-4.575
58,7,160.997,167.81,-6.813
58,8,159.465,152.709,6.756
58,9,154.745,170.0,-15.255
58,10,146.705,161.31,-14.605
58,11,140.127,175.748,-35.621
59,0,164.564,175.998,-11.434
59,1,164.214,174.856,-10.642
59,2,161.818,173.629,-11.811
59,3,159.977,168.685,-8.708
59,4,161.178,169.348,-8.17
59,5,163.337,171.118,-7.781
59,6,162.588,171.169,-8.581
59,7,154.305,166.583,-12.278
59,8,151.358,155.616,-4.258
59,9,148.981,167.372,-18.391
59,10,148.049,174.898,-26.849
60,0,178.598,178.509,0.089
60,1,160.28,177.356,-17.076
60,2,161.51,176.841,-15.331
60,3,161.133,173.001,-11.868
60,4,159.937,175.947,-16.01
60,5,158.418,169.527,-11.109
60,6,159.729,165.753,-6.024
60,7,156.447,170.738,-14.291
60,8,158.604,170.913,-12.309
60,9,155.722,167.54,-11.818
60,10,154.029,165.518,-11.489
60,11,148.513,170.034,-21.521
62,0,163.061,152.453,10.608
62,1,163.981,155.639,8.342
62,2,166.708,161.68,5.028
62,3,169.9,165.155,4.745
62,4,172.317,165.897,6.42
62,5,174.455,170.371,4.084
62,6,177.22,173.444,3.776
62,7,177.565,174.538,3.027
62,8,177.179,175.459,1.72
62,9,174.099,174.349,-0.25
63,0,173.171,161.789,11.382
63,1,175.522,161.635,13.887
63,2,175.726,163.487,12.239
63,3,176.64,164.575,12.065
63,4,176.787,169.257,7.53
63,5,177.136,172.091,5.045
63,6,176.727,174.05,2.677
63,7,175.991,177.411,-1.42
63,8,175.308,178.012,-2.704
64,1,171.817,169.446,2.371
64,2,174.113,164.682,9.431
64,3,177.389,161.751,15.638
64,4,179.998,164.864,15.134
64,5,178.923,168.219,10.704
64,6,178.011,169.938,8.073
64,7,179.604,170.962,8.642
64,8,177.953,173.409,4.544
64,9,175.698,173.859,1.839
64,10,176.709,175.127,1.582
64,11,177.013,174.245,2.768
65,0,160.771,159.5,1.271
65,1,163.87,157.39,6.48
65,2,165.296,159.558,5.738
65,3,166.784,160.1,6.684
65,4,169.246,162.552,6.694
65,5,168.273,163.875,4.398
65,6,168.475,168.162,0.313
65,7,169.114,169.208,-0.094
65,8,168.541,170.021,-1.48
65,9,169.594,169.321,0.273
65,10,167.199,169.423,-2.224
66,0,164.726,168.126,-3.4
66,1,160.295,169.205,-8.91
66,2,161.264,167.943,-6.679
66,3,165.125,164.796,0.329
66,4,167.189,163.005,4.184
66,5,170.89,165.549,5.341
66,6,175.94,167.533,8.407
66,7,178.668,168.44,10.228
66,8,179.829,171.717,8.112
66,9,178.498,173.324,5.174
66,10,176.613,175.862,0.751
66,11,178.919,176.584,2.335
68,0,168.216,170.336,-2.12
68,1,162.828,167.922,-5.094
68,2,161.999,165.461,-3.462
68,3,161.823,155.281,6.542
68,4,164.22,160.774,3.446
68,5,166.085,161.702,4.383
68,6,169.946,165.256,4.69
68,7,170.432,166.839,3.593
68,8,171.918,168.84,3.078
68,9,175.122,172.495,2.627
68,10,174.327,173.316,1.011
70,0,175.949,178.929,-2.98
70,1,173.203,179.403,-6.2
