archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
43,2,72.905,69.373,60.773,53.135,3.532,7.638
43,3,84.533,109.344,62.297,38.711,-24.811,23.586
43,4,110.137,141.661,63.825,68.137,-31.524,-4.312
43,5,138.256,141.968,77.686,72.964,-3.712,4.722
43,6,152.309,144.713,87.928,69.233,7.596,18.695
43,7,164.144,163.552,85.138,95.412,0.592,-10.274
43,8,170.353,168.273,80.771,63.07,2.08,17.701
45,0,82.394,87.938,60.398,52.913,-5.544,7.485
45,1,79.648,79.602,62.348,50.185,0.046,12.163
45,2,82.341,80.105,49.826,49.33,2.236,0.496
45,3,98.68,93.142,55.334,48.172,5.538,7.162
45,4,120.952,128.201,64.884,39.689,-7.249,25.195
45,5,143.347,152.049,94.307,78.121,-8.702,16.186
45,6,158.982,166.748,89.51,92.021,-7.766,-2.511
45,7,166.339,172.546,88.519,82.529,-6.207,5.99
46,0,74.535,81.835,63.417,58.557,-7.3,4.86
46,1,74.329,71.882,60.068,44.293,2.447,15.775
46,2,79.981,75.633,55.463,46.155,4.348,9.308
46,3,102.245,101.575,52.141,46.627,0.67,5.514
46,4,127.893,139.83,56.37,62.78,-11.937,-6.41
46,5,151.299,159.451,76.901,65.828,-8.152,11.073
46,6,160.27,158.058,81.767,139.321,2.212,-57.554
46,7,171.208,170.05,68.967,139.943,1.158,-70.976
46,8,177.456,174.878,69.966,53.084,2.578,16.882
46,9,176.174,175.446,59.9,26.62,0.728,33.28
47,0,85.405,87.066,62.967,58.561,-1.661,4.406
47,1,87.456,83.826,58.027,44.967,3.63,13.06
47,2,99.528,91.725,72.368,88.453,7.803,-16.085
47,3,124.707,138.218,79.208,54.415,-13.511,24.793
47,4,149.313,153.813,96.282,66.07,-4.5,30.212
47,5,158.13,168.767,73.053,87.621,-10.637,-14.568
47,6,167.095,174.161,78.525,73.471,-7.066,5.054
47,7,176.239,178.375,64.301,53.451,-2.136,10.85
48,0,90.136,95.217,62.376,60.847,-5.081,1.529
48,1,81.822,83.67,63.526,56.615,-1.848,6.911
48,2,85.863,85.086,58.831,50.178,0.777,8.653
48,3,97.972,98.66,59.826,49.045,-0.688,10.781
48,4,121.473,136.395,58.345,50.135,-14.922,8.21
48,5,143.399,150.121,78.231,65.567,-6.722,12.664
48,6,157.481,167.595,88.852,97.545,-10.114,-8.693
48,7,172.579,175.845,75.073,90.71,-3.266,-15.637
48,8,179.096,175.329,79.549,66.279,3.767,13.27
48,9,174.595,169.172,63.811,60.768,5.423,3.043
48,10,176.91,170.244,65.598,61.824,6.666,3.774
49,0,88.475,99.053,106.829,88.414,-10.578,18.415
49,1,84.378,89.836,116.326,99.088,-5.458,17.238
49,2,82.709,82.879,93.807,89.304,-0.17,4.503
49,3,91.129,94.251,96.375,84.399,-3.122,11.976
49,4,112.964,118.186,89.352,58.267,-5.222,31.085
49,5,148.975,140.884,77.855,57.651,8.091,20.204
49,6,169.481,164.279,89.516,78.033,5.202,11.483
49,7,173.347,177.239,100.672,101.179,-3.892,-0.507
49,8,171.906,170.708,119.465,77.358,1.198,42.107
49,9,175.906,168.536,123.018,92.928,7.37,30.09
49,10,178.878,171.348,109.654,88.838,7.53,20.816
49,11,176.257,177.454,80.977,66.756,-1.197,14.221
50,0,90.956,101.314,103.366,99.159,-10.358,4.207
50,1,87.092,96.61,108.854,105.578,-9.518,3.276
50,2,85.232,88.409,101.942,86.989,-3.177,14.953
50,3,94.126,97.005,90.416,83.177,-2.879,7.239
50,4,113.708,120.767,93.437,58.321,-7.059,35.116
50,5,143.228,153.068,83.049,67.286,-9.84,15.763
50,6,165.929,162.851,84.661,83.209,3.078,1.452
50,7,176.861,179.73,88.094,98.063,-2.869,-9.969
50,8,175.636,175.648,109.063,76.061,-0.012,33.002
50,9,176.84,174.548,91.504,56.808,2.292,34.696
50,10,178.451,171.004,88.193,56.438,7.447,31.755
50,11,175.948,171.796,71.834,49.64,4.152,22.194
50,12,175.888,179.892,53.645,47.541,-4.004,6.104
50,13,172.605,175.363,48.312,46.315,-2.758,1.997
50,14,167.284,168.883,46.412,51.992,-1.599,-5.58
50,15,158.514,157.498,45.356,51.2,1.016,-5.844
51,0,92.894,105.677,90.794,105.265,-12.783,-14.471
51,1,89.663,102.594,105.389,80.826,-12.931,24.563
51,2,91.7,99.974,106.186,84.492,-8.274,21.694
51,3,94.75,100.274,98.409,82.843,-5.524,15.566
51,4,108.421,115.31,91.49,71.536,-6.889,19.954
51,5,134.345,141.833,80.672,60.319,-7.488,20.353
51,6,155.39,162.449,68.663,64.057,-7.059,4.606
51,7,171.82,175.601,65.485,85.824,-3.781,-20.339
51,8,179.94,178.31,80.071,71.858,1.63,8.213
51,9,179.366,174.791,70.672,52.969,4.575,17.703
51,10,174.272,175.324,66.122,52.808,-1.052,13.314
51,11,167.713,177.463,57.611,48.962,-9.75,8.649
51,12,165.995,173.145,57.595,50.657,-7.15,6.938
52,0,91.945,99.637,100.199,96.897,-7.692,3.302
52,1,93.738,95.468,103.431,86.771,-1.73,16.66
52,2,91.006,93.339,89.745,88.261,-2.333,1.484
52,3,106.481,113.25,82.279,76.979,-6.769,5.3
52,4,129.051,129.48,76.147,55.394,-0.429,20.753
52,5,154.21,147.604,61.428,63.713,6.606,-2.285
52,6,166.742,166.283,92.071,87.893,0.459,4.178
52,7,177.55,177.915,91.764,154.628,-0.365,-62.864
52,8,171.481,176.283,93.074,102.389,-4.802,-9.315
52,9,174.709,173.628,81.367,64.764,1.081,16.603
52,10,179.571,173.578,88.409,56.85,5.993,31.559
53,0,94.956,100.228,96.114,94.537,-5.272,1.577
53,1,102.593,102.752,94.819,84.87,-0.159,9.949
53,2,110.635,112.971,88.187,58.331,-2.336,29.856
53,3,132.29,140.864,97.729,61.343,-8.574,36.386
53,4,159.102,157.698,84.487,75.193,1.404,9.294
53,5,176.871,173.472,66.89,113.268,3.399,-46.378
53,6,173.911,177.785,69.816,51.685,-3.874,18.131
53,7,175.2,169.985,82.701,74.796,5.215,7.905
53,8,179.223,177.924,71.259,70.49,1.299,0.769
53,9,176.042,173.657,92.865,76.874,2.385,15.991
54,0,96.417,107.423,93.914,86.563,-11.006,7.351
54,1,93.146,101.959,96.565,79.91,-8.813,16.655
54,2,92.088,100.359,94.665,76.8,-8.271,17.865
54,3,100.004,104.354,85.923,91.944,-4.35,-6.021
54,4,117.101,122.756,76.852,56.084,-5.655,20.768
54,5,141.775,150.358,102.909,72.821,-8.583,30.088
