archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
36,10,69.901,72.867,47.008,36.535,-2.966,10.473
36,11,64.949,72.274,45.181,35.175,-7.325,10.006
38,0,127.672,152.957,75.889,64.184,-25.285,11.705
38,1,111.16,130.062,77.914,62.858,-18.902,15.056
38,2,99.527,114.496,84.112,60.859,-14.969,23.253
38,3,92.182,104.072,78.707,58.924,-11.89,19.783
38,4,87.215,94.706,77.371,60.856,-7.491,16.515
38,5,84.97,90.059,67.811,56.167,-5.089,11.644
38,6,81.333,81.72,70.883,55.033,-0.387,15.85
38,7,78.509,88.83,71.808,56.727,-10.321,15.081
38,8,77.883,88.71,69.148,53.244,-10.827,15.904
38,9,77.325,92.717,62.881,51.463,-15.392,11.418
38,10,71.408,85.161,67.292,51.727,-13.753,15.565
38,11,68.576,77.425,59.232,47.281,-8.849,11.951
38,12,65.008,73.032,62.935,42.99,-8.024,19.945
39,0,134.544,143.458,52.675,61.088,-8.914,-8.413
39,1,126.021,134.054,49.4,60.209,-8.033,-10.809
39,2,119.472,124.485,48.64,58.69,-5.013,-10.05
39,3,113.935,116.62,47.914,57.414,-2.685,-9.5
39,4,111.412,108.269,48.083,57.874,3.143,-9.791
39,5,113.425,106.848,41.826,55.99,6.577,-14.164
39,6,113.121,112.091,44.537,54.585,1.03,-10.048
39,7,116.855,119.396,48.47,49.821,-2.541,-1.351
39,8,118.575,123.614,45.627,51.387,-5.039,-5.76
39,9,120.609,119.469,44.385,49.901,1.14,-5.516
39,10,114.396,119.604,45.896,49.619,-5.208,-3.723
40,0,122.363,135.486,48.224,52.703,-13.123,-4.479
40,1,110.135,121.837,47.43,52.168,-11.702,-4.738
40,2,103.678,112.899,42.19,46.459,-9.221,-4.269
40,3,103.305,107.144,43.624,46.135,-3.839,-2.511
40,4,104.184,105.938,41.443,44.847,-1.754,-3.404
40,5,106.006,109.373,43.44,45.283,-3.367,-1.843
40,6,110.153,115.569,42.076,48.208,-5.416,-6.132
40,7,113.092,122.918,41.079,43.853,-9.826,-2.774
40,8,116.559,123.935,47.13,45.694,-7.376,1.436
40,9,120.545,125.571,42.989,45.062,-5.026,-2.073
40,10,123.405,125.412,39.22,46.652,-2.007,-7.432
41,0,127.784,138.142,56.564,54.89,-10.358,1.674
41,1,121.047,130.376,53.869,55.338,-9.329,-1.469
41,2,120.709,127.703,48.62,55.701,-6.994,-7.081
41,3,122.797,128.267,46.845,55.544,-5.47,-8.699
41,4,128.578,131.719,47.727,48.668,-3.141,-0.941
41,5,133.239,140.867,49.093,51.029,-7.628,-1.936
41,6,139.564,144.005,48.128,50.528,-4.441,-2.4
41,7,140.804,140.858,49.031,51.295,-0.054,-2.264
41,8,143.994,143.165,49.031,51.065,0.829,-2.034
42,0,128.309,141.854,53.644,63.495,-13.545,-9.851
