archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
31,1,93.112,117.69,59.973,51.562,-24.578,8.411
31,2,84.837,105.673,61.73,53.002,-20.836,8.728
31,3,80.446,95.221,59.176,46.519,-14.775,12.657
31,4,76.801,86.417,61.555,50.408,-9.616,11.147
31,5,74.274,85.872,63.248,45.754,-11.598,17.494
31,6,72.518,72.378,61.927,45.971,0.14,15.956
31,7,71.576,91.041,53.365,52.113,-19.465,1.252
31,8,71.375,92.024,53.463,49.391,-20.649,4.072
31,9,71.734,95.162,51.415,50.427,-23.428,0.988
31,10,67.959,85.509,48.724,42.954,-17.55,5.77
31,11,64.922,90.198,48.332,46.504,-25.276,1.828
32,0,85.483,115.732,50.494,52.888,-30.249,-2.394
32,1,81.311,101.874,49.469,56.691,-20.563,-7.222
32,2,75.212,92.978,56.535,54.864,-17.766,1.671
32,3,72.034,86.887,54.665,50.812,-14.853,3.853
32,4,71.336,83.337,56.842,52.418,-12.001,4.424
32,5,71.591,72.662,54.641,49.724,-1.071,4.917
32,6,70.608,76.693,49.282,48.451,-6.085,0.831
33,0,112.794,140.484,72.761,67.188,-27.69,5.573
33,1,97.817,126.958,65.33,64.266,-29.141,1.064
33,2,90.512,113.755,67.375,62.808,-23.243,4.567
33,3,86.877,103.861,63.963,61.208,-16.984,2.755
33,4,83.051,98.043,60.681,56.681,-14.992,4.0
33,5,81.911,91.208,60.476,55.525,-9.297,4.951
33,6,81.0,92.542,61.616,49.936,-11.542,11.68
33,7,80.87,92.851,57.72,48.799,-11.981,8.921
33,8,80.237,93.981,60.205,50.279,-13.744,9.926
33,9,78.913,94.475,61.987,50.888,-15.562,11.099
33,10,77.585,97.737,61.978,50.242,-20.152,11.736
33,11,75.797,92.529,61.759,48.552,-16.732,13.207
33,12,72.366,86.474,63.756,47.682,-14.108,16.074
33,13,69.231,82.527,63.191,44.124,-13.296,19.067
34,0,88.91,110.035,58.129,47.062,-21.125,11.067
34,1,85.77,110.035,56.283,47.062,-24.265,9.221
34,2,80.161,97.74,56.283,46.269,-17.579,10.014
34,3,76.681,89.786,56.283,45.529,-13.105,10.754
34,4,74.982,89.283,56.283,46.124,-14.301,10.159
34,5,74.071,83.354,53.965,45.958,-9.283,8.007
34,6,71.94,82.836,57.128,47.642,-10.896,9.486
34,7,72.047,82.566,55.539,46.123,-10.519,9.416
34,8,72.008,86.385,54.36,44.42,-14.377,9.94
